folder_name,root_name,child_name,years,months,days,speaker,text,CHI_response,adult_coherence_score,child_coherence_score
Brown/Sarah,040724,Sarah,4.0,7.0,24.0,MOT,doesn't anybody like Superman?,mhm.,0.8,0.4
Weist/Matt,030002,Matt,3.0,0.0,2.0,MOT,your toe. well how did you hurt your toe?,on the rock one of the rocks.,0.9,0.8
Gleason/Father,katie,Katie,3.0,2.0,21.0,FAT,well can you learn how to use the cash register?,what's.,0.8,0.3
VanHouten/Threes/freeplay,stringf,Rebecca,3.0,5.0,20.0,INV,what is this guy? what's this called?,hasta put you on.,0.8,0.2
HSLLD/HV1/MT,diamt1,,3.0,10.0,14.0,MOT,we can't hear you. talk over here. what did Auntie buy you?,a balloon.,0.9,0.9
Weist/Roman,030417,Roman,3.0,4.0,17.0,FAT,did you see it behind there?,no.,0.9,0.9
Hall/BlackPro,trh,Tracy,4.0,9.0,,MOT,yeah that's how you caught cold the last time. remember? trying to be so fancy. what you got in your mouth there?,lipstick.,0.8,0.8
Hall/BlackWork,trc,Trina,4.0,9.0,,EXP,"great. and god is good. and we thank him our our food. by his hands we must be fed, thank_you for our, daily bread. amen. okay. it's good isn't it? isn't it good?",oh this is terrible.,0.9,0.4
Clark,020815b,Shem,2.0,8.0,15.0,INV,you're happy? are you still hot? do you have a fever?,take not take your finger.,0.8,0.5
Hall/BlackWork,deg,Derwood,4.0,9.0,,MOT,what's wrong with your eye Derwood?,nothing.,0.9,0.9
HSLLD/HV2/TP,remtp2,,5.0,0.0,16.0,MOT,zzz. what shape is this?,triangle.,0.9,0.9
Lego-protect/Lego,028-1,,,,,MOT,tickle tickle tickle. yeah. you want to sing a song?,c.,0.8,0.4
Weist/Matt,030015,Matt,3.0,0.0,15.0,MOT,mummies. now were you scared of looking at those mummies?,no.,0.9,0.9
Hall/BlackWork,roj,Ronald,4.0,9.0,,FCH,where's that blue shirt?,that can't fit me.,0.9,0.8
NewEngland/32,25,David,2.0,9.0,1.0,MOT,what are they having for breakfast?,cottage cheese.,0.9,0.9
Tardif,e19,Lincoln,1.0,9.0,25.0,MOT,oh. I don't think you know what this is. what else?,no. no no. no no.,0.8,0.5
Gelman/2004-Gender,51,,6.0,10.0,13.0,MOT,yeah. what do you think is in there?,trash.,0.8,0.9
Suppes,020228,Nina,2.0,2.0,28.0,MOT,show me the other color blocks. what? yellow. what is that?,blue.,0.9,0.4
MacWhinney,060906d,Ross,6.0,9.0,6.0,FAT,no we'll hafta fix it. okay here we go. I'm gonna fix it now. sit back Ross. sit back. seatbelt. now let's see if it's really stuck. yeah it's been twisted I can see. okay. I wonder how this gets twisted? any idea?,uhuh.,0.9,0.3
Gopnik/prompted,p06111,Student,2.0,,,UNK,"no, it's not a blue door? is it a pink door?",no.,0.9,0.9
Post/Lew,011020,Lew,1.0,10.0,20.0,MOT,it's bigger than the baby. where's the baby?,ssh ssh ssh.,0.8,0.2
Weist/Matt,030002,Matt,3.0,0.0,2.0,MOT,oh okay put that on your head and then you can put the bucket on your head? great idea. can you see now?,no. no no.,0.9,0.8
Suppes,020426,Nina,2.0,4.0,26.0,MOT,what are you making? are you making a poo_poo? do you wanna go on the big toilet?,it's okay.,0.8,0.5
Weist/Matt,020317,Matt,2.0,3.0,17.0,MOT,yeah it was really good. how did you sit. how did you sit when she was cutting your hair?,haircut.,0.9,0.8
Weist/Matt,040003,Matt,4.0,0.0,3.0,MOT,now I remember something that you guys sounded like you were playing a cowboy game. is that right?,that's the same one.,0.9,0.9
Hall/BlackPro,jaf,Jason,4.0,9.0,,MOT,I don't hear it. huh?,I don't hear it.,0.8,0.9
Gelman/2004-Gender,12,,2.0,9.0,20.0,MOT,not now but maybe we can in a few minutes okay?,okay.,0.9,0.9
NewmanRatner/24,4269LP,4269LP24,2.0,0.0,,MOT,he goes there? okay. what else? are you still looking at elephant. is the elephant sposta go with the zebra? look. oh look. yeah. I think you can open these up if you want. which one do you wanna open?,that one.,0.9,0.8
Valian,14b,,2.0,4.0,26.0,INV,you played on the carpet?,yes.,0.9,0.9
Weist/Matt,030713,Matt,3.0,7.0,13.0,MOT,anything else in there that that might stick to? does that red thing on that car?,no.,0.9,0.9
Gelman/2004-Gender,30,,4.0,8.0,11.0,MOT,"no, who's that look like?",you.,0.9,0.9
HSLLD/HV1/TP,asttp1,,3.0,9.0,16.0,MOT,oh. hm. alright let with it so stay. now we needta get a small piece for in here but where this one going Astra?,this goes here.,0.9,0.9
NewEngland/32,66,Christina,2.0,7.0,17.0,MOT,nope. can I. read with you? it says “mommy makes my breakfast”. what does she have here?,mommy.,0.9,0.8
NewmanRatner/24,7658LT,7658LT24,2.0,0.0,,MOT,what else do you see?,what see.,0.9,0.4
NewEngland/14,92,Abigail,1.0,2.0,16.0,MOT,make it go this way. can you do that? that's right. that's right. keep going. what's that noise?,yyy.,0.8,0.2
Lego-protect/Lego,023-1,,,,,MOT,but bubby you're writing with your left hand. that's your left hand. write with your right hand. let me see if you can draw write yeah. which is better for you? your right hand or your left hand? I'm going to. you're tracing your hand? you tracing your left hand?,b.,0.9,0.3
Sachs,020225,Naomi,2.0,2.0,25.0,MOT,mhm. does he have nice toys?,yup.,0.9,0.8
Hall/WhitePro,job,Joey,4.0,9.0,,TEA,did you see animals at the circus?,"yes I saw, I saw.",0.9,0.9
HSLLD/HV3/ER,ether3,,5.0,6.0,2.0,MOT,was in your room that night?,the bat? he was right in the corner I'll show you the corner.,0.9,0.9
VanHouten/Twos/teaching,royalt,Sarah,2.0,4.0,,MOT,now watch. push it through. Sarah. look. push it through. okay? now do another one. do another one. show Mommy how you do another one. put another one in. here. wanna do a different one?,no.,0.9,0.7
MacWhinney,050520b,Ross,5.0,5.0,20.0,FAT,okay. well. what should these boys do? do you want an adventure? and a jungle land? or do you want them to go into outer space?,outer space jungle land. and an adventure.,0.9,0.9
Gelman/2014-IndDiff,17C-P2,,4.0,8.0,24.0,MOT,mm-mm. but you told me someone eat the stem right?,firstname did.,0.9,0.8
Clark,030013,Shem,3.0,0.0,13.0,INV,okay. why don't you call him up and invite him?,oh. it dinged. oh. it dinged again. oh. there's Robin. hi. oh. he said something.,0.9,0.8
Bloom/Peter,011117,Peter,1.0,11.0,17.0,PAT,Peter where's your sister?,hm.,0.9,0.4
Post/Lew,020604,Lew,2.0,6.0,4.0,MOT,balloons? Melissa loves balloons. what else did you buy?,baseball.,0.9,0.8
Brown/Sarah,031009,Sarah,3.0,10.0,9.0,MOT,ya wanna sit over here? ya want a sit over here?,I wanna push there.,0.8,0.8
HSLLD/HV2/TP,tritp2,,4.0,11.0,7.0,MOT,that's right or. what else?,I don't know.,0.9,0.6
Demetras2/Tim/mother,020130,Tim,2.0,1.0,30.0,MOT,what should we tell her?,no more.,0.9,0.7
HSLLD/HV1/TP,zentp1,,3.0,9.0,28.0,MOT,where are all the other pieces? what's that?,I don't know. the pieces. the other one. how that?,0.8,0.4
HSLLD/HV1/MT,joemt1,,4.0,3.0,13.0,MOT,how_about three more then?,don't want ta! one more! one more!,0.9,0.7
Gleason/Father,isadora,Isadora,3.0,7.0,1.0,FAT,do you want me to read you that story now?,no. not yet.,0.9,0.8
MacWhinney,040316a,Ross,4.0,3.0,16.0,FAT,why did he suck it then?,because he's just a baby. and he thinks he's a baby. but he's not.,0.8,0.9
Weist/Matt,030129,Matt,3.0,1.0,29.0,MOT,you're sleeping at the beach?,I'll be right back.,0.8,0.3
NewEngland/32,36,Kate,2.0,6.0,24.0,MOT,it's at the playground. and look at the little bug. looks like he's gonna jump right on up there. and what's this? do we see the bug here? I see him right here. look at the earthworm. and the butterfly. and the trees! look at the moon and the stars! look at that. daddy reads us a story before we go to bed. what story does daddy read you when you go to bed? huh?,moon.,0.9,0.6
HSLLD/HV2/MT,bramt2,,5.0,4.0,8.0,MOT,what did you have for lunch today↑ do you remember?,cheeseburger.,0.9,0.9
Brown/Eve,010700b,Eve,1.0,7.0,0.0,COL,what are you doing? what?,I banging pencil.,0.8,0.8
Weist/Matt,040314,Matt,4.0,3.0,14.0,MOT,hello. is this the person that sold me the dinosaurs?,yes.,0.8,0.9
Weist/Emily,030219,Emily,3.0,2.0,19.0,CAR,I don't know what movie. what is this lady holding?,a wand.,0.8,0.9
Brown/Sarah,041006,Sarah,4.0,10.0,6.0,MEL,were they trick dogs. doing tricks? what did they do?,and there was lions and. there was tigers. lions and tigers. and. they jumped through the hoops.,0.8,0.8
Braunwald,020300a,Laura,2.0,3.0,,MOT,oh. don't you like to sit in the rocker?,look.,0.8,0.4
Gleason/Father,patricia,Patricia,2.0,6.0,,FAT,"and let me show you. when you hafta lift the car up. you put it under here. I think. yeah like that. see? and it holds it up so you can change the tire. Abba did that last week when it snowed. he put his tires on. now, you want me to take this off the way I showed you before? here, unscrew this. this is for bigger children I think a little bit. here, unscrew that. oop. it came off. could you get it back on?",these come out sometimes. first. we. could you put this on? I hold these loose things.,0.9,0.8
Gelman/2014-IndDiff,52C-P2,,4.0,11.0,12.0,MOT,is the baby sleeping or is the baby awake?,awake.,0.9,0.9
Warren,george,George,4.0,11.0,,FAT,"alright. did you do anything else? Mama was going to help you make a bird, wasn't she? no, that was a harp. did you make the heart?",yeh.,0.8,0.8
Gelman/2014-IndDiff,21C-P1,,4.0,8.0,28.0,MOT,why would it be fourteen?,I dunno.,0.8,0.6
Suppes,011116,Nina,1.0,11.0,16.0,MOT,this is a book? what do you see in the book?,rabbit.,0.9,0.7
Higginson/June,june02,June,1.0,4.0,,MOT,pigs actually. oink. oink. baby pigs are piglets. what are those? those are real funny looking little things. what do they look like?,maw.,0.8,0.4
Weist/Roman,040720,Roman,4.0,7.0,20.0,FAT,remember Brianna's birthday party?,no!,0.9,0.9
HSLLD/HV1/MT,tommt1,,4.0,2.0,3.0,MOT,you're gonna stay in bed the whole night? that's the first thing you're gonna do?,I said that's what I'm gonna do.,0.8,0.8
Brown/Adam,020430,Adam,2.0,4.0,30.0,MOT,where did you get my thread?,get thread.,0.9,0.7
Suppes,021116,Nina,2.0,11.0,16.0,MOT,what are you gonna do now? see look. see. it's not sticking any more. it's loosing it's glue. you better stop taking it off. would you like to go play with the doll house? I'm gonna put some furniture in the doll house. let's get the house all ready for halloween. wanna?,yup.,0.9,0.8
Suppes,030224,Nina,3.0,2.0,24.0,MOT,so how are you going to wash her hair now?,would you open another one for her?,0.8,0.5
Demetras2/Jimmy/father,020426,Jimmy,2.0,4.0,26.0,FAT,come back here. come on. who cracked the eggs?,Mommy.,0.9,0.9
HSLLD/HV2/BR,rembr2,,5.0,0.0,16.0,MOT,the acorn soared above the tree tops and lodged itself in the propeller gear of a sky patrol helicopter piloted by sergeant pickle hefty. the gears jammed. the propeller stopped turning and the helicopter plunged towards the earth. what's this?,parachute.,0.9,0.7
Weist/Roman,020701,Roman,2.0,7.0,1.0,FAT,what're you doing that for? you trying to mix it up?,mix it up. mix it up now. monkey.,0.8,0.6
Brown/Sarah,020920,Sarah,2.0,9.0,20.0,MOT,a nickel. alright. what is this?,a penny.,0.9,0.7
Bates/Free20,tom,Tom,1.0,8.0,,MOT,fantastic! look at that. where does that go?,yyy go. yyy yyy yyy.,0.9,0.4
Gleason/Father,helen,Helen,4.0,11.0,10.0,FAT,how_about cooking a can of soup? could you cook a can of soup on there?,you gotta sit in your chair. the.,0.8,0.5
Kuczaj,040015,Abe,4.0,0.0,15.0,KEI,how do you like Bernie the buffalo?,neat. can I have any orange juice?,0.9,0.6
HSLLD/HV2/BR,maybr2,,4.0,9.0,23.0,MOT,www. now what's the bear. did you turn a few pages?,I did I did.,0.9,0.8
Gelman/2014-IndDiff,60C-P1,,4.0,7.0,30.0,MOT,mhm. a holder for money?,pockets. pocket.,0.9,0.8
Sachs,011106,Naomi,1.0,11.0,6.0,MOT,what's over here? what's that?,what's this?,0.8,0.7
HSLLD/HV1/ER,zaner1,,3.0,9.0,25.0,MOT,where'd you go? what did you do?,see clowns.,0.9,0.4
Gelman/2016-Robodog,13,,5.0,6.0,,MOT,I can't throw any higher than that. what do you mean?,the high tower.,0.8,0.8
VanKleeck,shea2,Shea,3.0,8.0,,ADU,"there it is. you finally found it. it takes a long time to dress the baby, doesn't it?","this is really hard, isn't it? I can't do it, can I?",0.9,0.9
MacWhinney,060211b1,Ross,6.0,2.0,11.0,MAR,okay. hey ‡ what are you doing with those?,what?,0.7,0.3
Suppes,020115,Nina,2.0,1.0,15.0,MOT,yeah. did we go on a trip with Nonno and Nonna?,uhhuh.,0.9,0.8
Weist/Jillian,020402,Jillian,2.0,4.0,2.0,CAT,oh. is he giving little doggie kisses?,he's a baby.,0.8,0.7
Weist/Matt,031106,Matt,3.0,11.0,6.0,MOT,what do you think they would think about that place?,I don't know. where's Harry Potter's broom. I mean. where is Harry Potter's broomstick?,0.8,0.2
Gelman/2016-Robodog,18,,5.0,6.0,,MOT,can you make noise can you make noise without touching it? Firstname's?,I don't know. who's Firstname?,0.8,0.6
Hall/WhitePro,job,Joey,4.0,9.0,,FAT,"yeah well I mean my eye is sore right there look can you see it, how it's red?",no.,0.9,0.8
Hall/BlackWork,deg,Derwood,4.0,9.0,,MOT,and what else you broke?,huh?,0.8,0.3
MacWhinney,040920c,Ross,4.0,9.0,20.0,FAT,you'll feel better when that aspirin takes effect. honey. it's that bad. huh?,get the banananano. please.,0.8,0.2
HSLLD/HV5/MT,megmt5,,7.0,4.0,22.0,MOT,and you wrote that all by yourself?,the beginning plot. I copied from a book but the ending. I did it.,0.9,0.9
Gelman/2014-IndDiff,37C-P2,,4.0,9.0,21.0,MOT,and talk through your nose?,no talk through my mouth.,0.8,0.8
Gelman/2014-IndDiff,53C-P2,,5.0,0.0,29.0,MOT,a raceman? what's he racing?,oh he's ra- he's the teacher.,0.8,0.8
